HEAD	RELATION	TAIL
Drug therapy	associated_procedure_of	Medication dose changed
Drug therapy	associated_procedure_of	Medication dose increased
Drug therapy	associated_procedure_of	Medication dose decreased
Staining method	associated_procedure_of	No stain applied
Procedure	associated_procedure_of	Treatment adjusted per order
Notifications	associated_procedure_of	Patient notified
Procedure	associated_procedure_of	Procedure not ordered
Education	associated_procedure_of	Education reinforced
Notifications	associated_procedure_of	Person notified
Notification of physician	associated_procedure_of	Physician notified
Scheduling	associated_procedure_of	Procedure rescheduled
Notifications	associated_procedure_of	Family notified
Patient referral	associated_procedure_of	Referral placed
Reassuring	associated_procedure_of	Reassurance given
Dispensing of blood product	associated_procedure_of	Blood product issued
History taking	associated_procedure_of	History refused
Procedure	associated_procedure_of	Clinical management plan completed
Immunization	associated_procedure_of	History of vaccination
Second hepatitis B vaccination	associated_procedure_of	History of two doses hepatitis B vaccine
Hepatitis B vaccination	associated_procedure_of	History of hepatitis B vaccination
Cardiopulmonary resuscitation	associated_procedure_of	Cardiopulmonary resuscitation discontinued as per protocol
Cardiopulmonary resuscitation	associated_procedure_of	Cardiopulmonary resuscitation discontinued due to do not resuscitate order
Cardiopulmonary resuscitation	associated_procedure_of	Cardiopulmonary resuscitation discontinued - medical control order
Cardiopulmonary resuscitation	associated_procedure_of	Cardiopulmonary resuscitation discontinued - signs of death
Cardiopulmonary resuscitation	associated_procedure_of	Cardiopulmonary resuscitation discontinued - return of spontaneous circulation
Hepatitis B vaccination	associated_procedure_of	Hepatitis B immunization recommended
First hepatitis B vaccination	associated_procedure_of	History of one dose of hepatitis B vaccine
Prescription of drug	associated_procedure_of	Systemic corticosteroid not prescribed
Augmentation mammoplasty	associated_procedure_of	History of augmentation of breast
Cardiovascular surgical procedure	associated_procedure_of	History of cardiovascular surgery
Radiation therapy procedure or service	associated_procedure_of	History of radiation therapy
Repair of umbilical hernia	associated_procedure_of	History of repair of umbilical hernia
Radiofrequency ablation operation for arrhythmia	associated_procedure_of	History of radiofrequency ablation operation on left atrium for arrhythmia
Laparoscopic adjustable gastric banding	associated_procedure_of	History of laparoscopic adjustable gastric banding
Intersex surgery	associated_procedure_of	History of intersex surgery
Spinal fusion for kyphosis	associated_procedure_of	History of spinal fusion for kyphosis
Extracorporeal shockwave lithotripsy	associated_procedure_of	History of extracorporeal shockwave lithotripsy
Repair of coarctation of aorta	associated_procedure_of	History of repair of coarctation of aorta
Partial resection of colon	associated_procedure_of	History of partial resection of colon
Bilateral salpingectomy with oophorectomy	associated_procedure_of	History of bilateral salpingo-oophorectomy
Operative procedure on elbow	associated_procedure_of	History of operative procedure on elbow
Amputation of leg through tibia and fibula	associated_procedure_of	History of amputation of leg through tibia and fibula
Cholecystectomy	associated_procedure_of	History of cholecystectomy
Radial keratotomy	associated_procedure_of	History of radial keratotomy
Circumcision	associated_procedure_of	History of circumcision
Angioplasty of carotid artery	associated_procedure_of	History of angioplasty of carotid artery
Repair of aneurysm of abdominal aorta	associated_procedure_of	History of repair of aneurysm of abdominal aorta
Osteotomy	associated_procedure_of	History of osteotomy
Repair of inguinal hernia	associated_procedure_of	History of repair of inguinal hernia
Subtotal thyroidectomy	associated_procedure_of	History of subtotal thyroidectomy
Repair of musculotendinous cuff of shoulder	associated_procedure_of	History of repair of musculotendinous cuff of shoulder
Laser assisted in situ keratomileusis	associated_procedure_of	History of laser assisted in situ keratomileusis
Amputation of hallux	associated_procedure_of	History of amputation of hallux
Decompression of median nerve	associated_procedure_of	History of decompression of median nerve
Sickle cell disease screening test	associated_procedure_of	Sickle cell screening declined
Arterial bypass of lower limb artery	associated_procedure_of	History of arterial bypass of lower limb artery
Cardiopulmonary resuscitation	associated_procedure_of	Cardiopulmonary resuscitation not attempted
Release of entrapment of peripheral nerve	associated_procedure_of	History of release of entrapment of peripheral nerve
Mitral valvuloplasty	associated_procedure_of	History of repair of mitral valve
Operative procedure on thoracic spinal structure	associated_procedure_of	History of operative procedure on thoracic spinal structure
Maze procedure for atrial fibrillation	associated_procedure_of	History of maze procedure for atrial fibrillation
Phenylketonuria screening test	associated_procedure_of	Phenylketonuria screening declined
Placement of gastrostomy tube	associated_procedure_of	History of placement of gastrostomy tube
Procedure	associated_procedure_of	Intrauterine device contraception leaflet given
Trephination	associated_procedure_of	History of trephination of cranium
Operative procedure on hip	associated_procedure_of	History of operative procedure on hip
Transurethral prostatectomy	associated_procedure_of	History of transurethral prostatectomy
Liver excision	associated_procedure_of	History of liver excision
Amputation of lower limb	associated_procedure_of	History of amputation of leg above ankle
Creation of aortofemoral shunt	associated_procedure_of	History of aortofemoral bypass surgery
Partial nephrectomy	associated_procedure_of	History of partial nephrectomy
Placement of stent in anterior descending branch of left coronary artery	associated_procedure_of	History of placement of stent in anterior descending branch of left coronary artery
Ablation of atrioventricular node	associated_procedure_of	History of ablation of atrioventricular node
Scleral buckling	associated_procedure_of	History of scleral buckling
Arthroscopy of elbow	associated_procedure_of	History of arthroscopy of elbow
Surgery	associated_procedure_of	History of arthroscopy of elbow
Resection of sternum	associated_procedure_of	History of resection of sternum
Repair of quadriceps	associated_procedure_of	History of repair of rupture of quadriceps tendon
Medium-chain acyl-coenzyme A dehydrogenase deficiency screening test	associated_procedure_of	Medium-chain acyl-coenzyme A dehydrogenase deficiency screening test declined
Congenital hypothyroidism screening test	associated_procedure_of	Congenital hypothyroidism screening declined
Operative procedure on knee	associated_procedure_of	History of operative procedure on knee
Radiofrequency ablation operation for arrhythmia	associated_procedure_of	History of radiofrequency ablation operation for arrhythmia
Laparoscopy	associated_procedure_of	History of laparoscopy
Reduction mammoplasty	associated_procedure_of	History of reduction of breast
Amputation of finger, except thumb	associated_procedure_of	History of amputation of finger
Diagnostic arthroscopy of wrist joint	associated_procedure_of	History of arthroscopy of wrist
Atrioseptoplasty	associated_procedure_of	History of repair of atrial septal defect
Repair of retina for retinal tear or defect by laser photocoagulation	associated_procedure_of	History of repair of tear of retina by laser photocoagulation
Surgical procedure on cervical spine	associated_procedure_of	History of surgical procedure on cervical spine
Operation on lumbar spine	associated_procedure_of	History of operative procedure on lumbar spinal structure
